,name,position,minutes,cost,total_points,value,points_per_90
131,Kepa Arrizabalaga,Goalkeeper,585,5.0,26,5.2,4.0
132,N'Golo Kanté,Midfielder,2140,5.0,62,12.4,2.61
133,Hakim Ziyech,Midfielder,1164,7.5,70,9.3,5.41
134,Ruben Loftus-Cheek,Midfielder,1962,5.5,66,12.0,3.03
135,Andreas Christensen,Defender,1371,5.0,61,12.2,4.0
136,Timo Werner,Forward,2598,9.0,128,14.2,4.43
137,Benjamin Chilwell,Defender,2286,6.0,139,23.2,5.47
138,Tammy Abraham,Forward,1031,6.5,69,10.6,6.02
139,Christian Pulisic,Midfielder,1731,8.0,82,10.2,4.26
140,Mason Mount,Midfielder,2887,7.5,147,19.6,4.58
141,Ethan Ampadu,Defender,2087,4.5,44,9.8,1.9
142,Callum Hudson-Odoi,Midfielder,1050,5.5,59,10.7,5.06
143,Kai Havertz,Midfielder,1512,8.5,91,10.7,5.42
144,Reece James,Defender,2367,5.5,112,20.4,4.26
145,Edouard Mendy,Goalkeeper,2745,6.0,140,23.3,4.59
146,Conor Gallagher,Midfielder,2530,5.5,71,12.9,2.53
147,Vicente Guaita,Goalkeeper,3330,4.5,124,27.6,3.35
148,James Tomkins,Defender,551,4.5,18,4.0,2.94
149,James McArthur,Midfielder,1465,4.5,45,10.0,2.76
150,Christian Benteke,Forward,1808,6.5,106,16.3,5.28
151,Cheikhou Kouyaté,Defender,3121,4.5,82,18.2,2.36
153,Luka Milivojevic,Midfielder,2357,5.5,63,11.5,2.41
154,Jordan Ayew,Forward,2086,6.0,70,11.7,3.02
155,Wilfried Zaha,Midfielder,2612,7.0,136,19.4,4.69
156,Jeffrey Schlupp,Midfielder,1415,5.5,65,11.8,4.13
158,Jairo Riedewald,Midfielder,1810,5.0,64,12.8,3.18
161,Eberechi Eze,Midfielder,2555,6.0,125,20.8,4.4
163,Tyrick Mitchell,Defender,1710,4.5,58,12.9,3.05
166,Gylfi Sigurdsson,Midfielder,2244,7.0,122,17.4,4.89
